# charactristic, type, id, mat1, mat2, tmat, weight, delta
805c4206bd935598bac4ab8dc92ce857,32,1,9961132d,c4f0f13d,11fbcfff,59,0
a1770aca0fa0b2bcfe0df3d312bb2893,32,1,9e6613cd,c4c8f133,bfeeffff,65,0
a44a57df76347ac854bdfe0a4a08adf3,32,1,8b73116f,c460f119,c77bff5f,67,1
e1bff72d9faadbc79cb0466929532e9b,32,1,728a0e50,c3a8f0eb,0cf6f7ff,73,0
b2349cd11b042b1bb61d1c527b5489cf,32,1,6f970df3,c340f0d1,ad23d5ff,61,0
d1488c58c601f5a6880fc6b6f15ffa5f,32,1,26de04da,c108f043,e4301ffd,65,0
a6f8c8c3193ae45d6301f5574b152557,32,1,f7001ee1,bff8efff,302f7eff,63,0
f573a33f9d94148149acaf6c19128203,32,1,ea1d1d42,bf10efc5,8167beff,59,0
ff013def25eeaf0e27f717893bca51d7,32,1,cc3b1986,be20ef89,e3ebafff,75,0
94977e8c8c258cc60337e0076e338993,32,1,72850e51,bbd0eef5,4cbe3bff,59,1
ec45c36c02c220b103085a87c57b3dd7,32,1,4eb909d6,ba30ee8d,0002adff,57,0
84c773f18f0aa1258bef37d36cf259ab,32,1,f1071e21,b7c0edf1,43d67d7d,69,0
a0d1662844ad8e7565966254efd61c0f,32,1,e3151c63,b750edd5,7fbbffff,61,0
83603be6958a48e009736b47e974201b,32,1,d3251a65,b6d0edb5,7ae7bfbf,57,0
d5d60d0f68b07048896e3ca5e3c0022f,32,1,db2d1b64,b690eda5,ddbfb5ff,57,0
dd3e86ddb3deea76cf19d50d1c2d2d2b,32,1,ca3c1946,b618ed87,455f3fff,73,0
ea6eb5bff0f52dd2593a094641a7805f,32,1,bc4a1788,b5a8ed6b,185bfdff,67,0
f35fbd745c2b0ffa7f715e220a90f2d7,32,1,6b9d0d72,b310ecc5,97cbafff,73,0
9df113a2105c9515c14bc238b09be67f,32,1,55a30ab5,b2e0ecb9,ec6259ff,61,0
aaa6485860ff44a93b87bcfc7a4f8657,32,1,50a60a15,b2c8ecb3,ef625fff,67,1
951ef0e8f8ba1933ebd3891fd8280427,32,1,37c106f9,b1f0ec7d,e1d5f7ff,63,0
b108e531331d366305aadc985b0c4183,32,1,25d304bb,b160ec59,6ee1bf7f,55,0
da9b16f206fe64f811204d5bb9b4d04b,32,1,0ef801de,b038ec0f,00f76dff,63,0
cbc00a8e435722f48da843b404609603,32,1,fc091f80,afb0ebed,8fdfbdbf,51,1
bec009315cc2cad10dbfbfca9f28457f,32,1,b74216e9,ade8eb7b,7cfbddfd,67,1
ddbb7120b24f02745f42c7a1827dfbb3,32,1,8d7811ae,ac38eb0f,78b3f3ff,67,0
8e32c2e4994195e3294a5958f065d837,32,1,76830ed1,abe0eaf9,0730ac7f,59,0
c32d31fc0411c999fb95cc514cccf08b,32,1,788d0f10,ab90eae5,899589ff,61,0
b62d32431b8421bc7b82302fd78423f7,32,1,33c60679,a9c8ea73,39373aff,61,0
e8738f783dd0832abde88e6522dd2ec7,32,1,2adf055a,a900ea41,a5173fff,67,0
fc95894c9c5494032bc1f9b2eeab72fb,32,1,1fea03fc,a8a8ea2b,7d18e4df,67,0
b962f186da6a5247bf698513adef7543,32,1,00f5001f,a850ea15,eb8ebf7d,69,0
968a444b4100223ee7e567240d49270b,32,1,e4101c83,a778e9df,ef6ee7dd,53,0
941051492214038fcfc93669d07cdbdb,32,1,d3271a65,a6c0e9b1,6d43ff7f,59,0
8fbefc2071f67145f1e4560df13f1c0f,32,1,a65214cb,a568e95b,40477d7f,69,0
d4dd1c0e2e361ba79d3ee59e5cd5945f,32,1,aa5e154a,a508e943,a9f13fff,71,0
9e65a701a9e6ae18cd7d2c0365fac553,32,1,867210cf,a468e91b,dabdabff,65,0
e6b5c2d988a1652491e75241eeadf5c7,32,1,5ca80b94,a2b8e8af,b9ff7cff,65,1
dc374fe45af8e6d287ecc8f483273f8b,32,1,5da90bb4,a2b0e8ad,ffe3ff5f,71,0
f0c9d1ef4a3153bc2fe274dbffee552b,32,1,5eaa0bd4,a2a8e8ab,00f3fdff,75,0
cf71695fd2740e26ffb641385d89d75b,32,1,39cd0738,a190e865,2d24faff,71,0
9e6017a135cedf4bfd374a4ed2bb8cdf,32,1,13e7027d,a0c0e831,53e16dff,73,0
d4a324c3ab883578d48b05c2b7c291a7,32,1,e91a1d22,9f28e7cb,381dffff,59,0
c04522f70a0c225142a272157bb4cd9b,32,1,dc2f1b84,9e80e7a1,bb3f6cff,55,0
9e1b9fcc2c5880c784c8cc5f8eedc0ab,32,1,c53618a7,9e48e793,ffc3a77f,63,0
b2e7d9ff933152e27063b4b2d23b2edb,32,1,20d3041b,9960e659,6473faff,71,1
c57aa7dadc388d6eb4b7bb0e0318cc2b,32,1,2fdc05fa,9918e647,c0b1f7ff,67,0
91568431421694771c86bda1d49912cf,32,1,10e3021d,98e0e639,7d47bd7f,57,0
d52dc23fec9fb6955080ce559687d14f,32,1,df2d1be4,9690e5a5,6bedb7ff,67,1
86a1c15b5bb9505116c236e153debb47,32,1,b1431629,95e0e579,13aef57f,63,0
81045174ee99dedfc8fbaeb7f6474627,32,1,75870eb1,93c0e4f1,13beddff,71,0
cbbcea7b69496b6098b8672acf68172b,32,1,59ab0b34,92a0e4a9,00023efd,67,0
d528729f70b7c7c660caa81821c698c3,32,1,4ab80956,9238e48f,10073bff,59,0
ce81b76e10dda31432086af397db924b,32,1,4cbe0996,9208e483,13b7fb7f,63,0
b4ce7714cea638ca76f423b176f81783,32,1,34c60699,91c8e473,7db11eff,67,1
d52f1a07433fd1de0c250a97b698559f,32,1,39cb0738,91a0e469,141243ff,65,0
b1f32a01b732f0bedc442e682e4b92e3,32,1,21d3043b,9160e459,beeeefff,63,0
86a471fbc7912102268850ace49ff2cb,32,1,24d6049b,9148e453,40b3f7ff,59,0
be3bc601d8ed0c0cd4514d3aea6f961f,32,1,b3421669,8de8e37b,11fffdfd,65,0
c6eba3d9f9aac73088cb33786138a68b,32,1,69980d32,8b38e2cf,11fd6dff,65,0
fef33be648e76577b6ecf880d1879017,32,1,5fae0bf4,8a88e2a3,f1e735ff,71,0
97fdb5bf2d980045e6a59a8179543053,32,1,30c10619,89f0e27d,d4f1f7ff,63,1
8181a689ef0836dd58a0bc1b681790bf,32,1,32c30659,89e0e279,897efeff,59,0
d386f3b1831122a7aaa3e9753b4af3d3,32,1,ff0f1fe0,8780e1e1,3fafdfbf,67,0
96718b7bc52fe4e33e0b95d4780ef46b,32,1,e0101c03,8778e1df,6367ad7d,69,0
8a7f069dbfc569f4ee550bab4b958753,32,1,c4341887,8658e197,c5f7ffff,71,0
f030c6e761bef22aaaa942e9aab6029b,32,1,bc4c1788,8598e167,aa7ff7bf,63,0
e37188c4daba0cc6be1c69aae3462717,32,1,ab5b156a,8520e149,e66fafbf,63,0
934966ce20935dc4a4f1fe4097fc3887,32,1,60900c13,8378e0df,34073edf,63,1
88e7cba773712f0e9adc9e24b6bfff53,32,1,15e502bd,80d0e035,dc1ff57f,75,0
ab49c572e41c41b46826bcc3f8bfa2af,32,1,eb041d61,7fd8dff7,4d0eef5f,65,0
eb83e0addbb64f84563ecdbbe3482077,32,1,e10e1c20,7f88dfe3,37eb6fff,69,0
d6a14d1f20e733afae46a9159c1a5ed7,32,1,b15e162a,7d08df43,8b7b7fff,67,0
ae7128c701a0f893f2dcd757174d6e43,32,1,6b840d71,7bd8def7,49657d7f,65,0
f788ddeb3d74b3c0b62a358967921ac3,32,1,50bf0a16,7a00de81,3de9fadf,67,1
a404de8f8a525504f068cd3da2cb70cb,32,1,3ed107db,7970de5d,1d577aff,59,0
d728c37b5478a65a46a2c00d2a01d363,32,1,f41a1e82,7728ddcb,6747f77f,57,0
c3cec54ff5fcb173d08bb7dae6778f5f,32,1,c12f1824,7680dda1,af4afdff,79,0
9045aeb3715241affa26ede1b470280b,32,1,dc321b87,7668dd9b,95f759ff,61,1
e7dfb80e0dd3883b521d40d2f20d07a7,32,1,a04e1408,7588dd63,a5bcbdff,63,0
9a3058fbfaa0ec38f892f78b01f63683,32,1,8967112d,74c0dd31,c3f2b5ff,65,0
819b4532356aefa1f6f5f1a297f4b8db,32,1,69870d31,73c0dcf1,e4e9fb7f,71,1
a58d50ebfecdc0f1188ca42514d0fd7f,32,1,7b950f73,7350dcd5,9f943fff,65,0
a7906a2c33e86e09fc5e230677aa53e7,32,1,ed001da1,6ff8dbff,5fee5f7d,65,0
86bb22e081db892db8977b58ac3d9323,32,1,ea071d41,6fc0dbf1,9222f5fd,63,0
af78e1fee886f437ba29caae88477ce3,32,1,fc111f83,6f70dbdd,286a7bff,71,0
bb9ee7ca4902e31e2c00bd79443120df,32,1,c9241925,6ed8dbb7,e2efbbff,61,0
df42d7ccbd0fc27efc619986dce2e7a3,32,1,d13c1a26,6e18db87,3f6b9dff,73,0
f6867c4ae7daa97c92308aff6fc6c53f,32,1,b459168a,6d30db4d,7e2d71ff,73,0
e0fa6f7c254a9fe42c35ac657e8565d3,32,1,b65b16ca,6d20db49,bff75dff,69,0
8b6b4487bf09aa34641af964bc2270cb,32,1,7b960f73,6b48dad3,0f0abadf,61,0
a50fcf8eccd43eebe43814061ddee6bb,32,1,4fa209f5,6ae8dabb,48ff6eff,69,0
a8dd71d15da67ab9641052f82dde8183,32,1,38d5071b,6950da55,43ce7dff,63,0
d5329124aad51ebace9fe5a1de25b0a7,32,1,11fc023e,6818da07,94e277ff,67,0
ffe779fc482ba6b73ca30a4f2630678f,32,1,e00c1c00,6798d9e7,0c53fbff,71,0
c8b74a9e0b006113aa80d6047bbacafb,32,1,967a12ce,6428d90b,0ddbff7f,59,0
a1bc7467f2577572ca83d24864282333,32,1,6c800d91,63f8d8ff,76bbbdff,61,0
b7c0675130c743ea7486f4d2756b83df,32,1,6e820dd1,63e8d8fb,91f075ff,67,0
94713a9fe1e0857f1863fdc173c9bfcb,32,1,5eb20bd7,6268d89b,c0566eff,71,0
e3eb2c229d614cebb05850f235b49067,32,1,22ce0458,6188d863,c4e7b77f,61,0
d969a11f4f38cf1da653ca47583e5a2b,32,1,23cf0478,6180d861,7abf75ff,67,0
85ad09260a784c3a481525407052abcb,32,1,0de101bd,60f0d83d,a0b2777f,51,0
8d4582f4d116d6040e62cce88fbf84cf,32,1,1cf0039f,6078d81f,3bc77dff,61,0
8090543373ec844ee2a5289928e12eab,32,1,18f4031f,6058d817,5e00377f,55,0
cd8fa72beebcd834307abd9094480617,32,1,16fa02de,6028d80b,61ef8f7f,63,0
d62662da8ed6bce662b87f7b22550c9f,32,1,10fc021e,6018d807,b3bffdff,69,0
a667dc85c2c9d5235d0faa422aa6dbab,32,1,eb001d61,5ff8d7ff,babaffbf,65,0
a1c09492d8493ce6df93f6d6af20a21b,32,1,c9221925,5ee8d7bb,128d9ffd,63,0
d360b7a2eed42b1eb1f7f4b326b0c58b,32,1,d3381a66,5e38d78f,5e57fdbf,69,0
deb561654c2e79545d3010c281ee6fef,32,1,d73c1ae6,5e18d787,7834cfff,65,0
f5e907d9da4f54ac47e89634cfe03573,32,1,63880c70,5bb8d6ef,376e9dff,69,0
c8ccc2f312963e9fd37f501527ec868f,32,1,40ab0814,5aa0d6a9,5ecd31ff,67,0
93a84a457ede4265d34a41091d58c383,32,1,3fd407fb,5958d657,66fd7bfd,57,0
874e4c71df5a554c456336ded12e9fbf,32,1,0ae1015d,58f0d63d,c9bbfb7d,71,0
b30f3c4d245a41e74f2d1602c795c77f,32,1,e8021d01,57e8d5fb,d19fbedf,65,1
b97da29d9c20fa682176aee7e54d14ab,32,1,ce2419c5,56d8d5b7,7bff76ff,67,0
8b17a4729517e3a0710addfa772af1e3,32,1,de341bc7,5658d597,c797fdff,67,0
cbdd81adaabded904f12ac826cdd733b,32,1,d43e1a86,5608d583,55aeffff,69,0
cbdae9359935fb8823fd0e0dfb83be67,32,1,a74d14e8,5590d565,a3103aff,73,0
b30a8cedb87230b47f67704f70d48ef3,32,1,7d970fb3,5340d4d1,9efd77ff,67,1
bc4227b04a145557d76367fc9de1151b,32,1,3dd707bb,5140d451,752b0f7f,65,0
c4909a50c4f3f920d75cdd7c36a9a15f,32,1,01eb003c,50a0d429,5f8a7d7f,65,0
c68ac80f3a5e41c05f61f8d0c28dc29b,32,1,e40d1c80,4f90d3e5,f0727fff,59,0
d0f6db39f8ce7758e164de4ad3ce6277,32,1,e60f1cc0,4f80d3e1,cd6dfadf,73,0
e29cddd6f1f96e90b118ad5741a9873f,32,1,f61f1ec2,4f00d3c1,987ffd7f,69,0
dfb918fc392004a3258f6b76a9a534c3,32,1,d53c1aa6,4e18d387,28a2f7ff,63,0
c9c50bcafbb0323b9b8a4decb8e6942f,32,1,d73e1ae6,4e08d383,c7f777ff,67,1
da832d71733cdacfe3d0c42066487cff,32,1,b35a166a,4d28d34b,caff34fd,67,0
9dee40b956163d3a5f54e9ccf8398797,32,1,9b72136f,4c68d31b,fa6afdff,69,0
a76ccd84844fbecc495f737995b34ddb,32,1,9a73134f,4c60d319,773c31fd,71,0
d5ce368c1d72ce7f7b9eb5de3c3cae9b,32,1,668f0cd0,4b80d2e1,1595f7ff,77,0
d0f36b9964e6060bd12eb807648f2bfb,32,1,739a0e72,4b28d2cb,6db52eff,65,0
ad1be3f4a01d7410174eadd1002ad783,32,1,29c00539,49f8d27f,c6fbb77f,59,0
8c30ab38122e93345387f58fdbbd1747,32,1,2ec705d9,49c0d271,4c99f7ff,65,0
da869dd1ef14ab9cd39aa26dd1093573,32,1,26cf04d8,4980d261,7d6b3cff,67,0
a9aa8025313e58c26550af5d59c396db,32,1,ec041d81,47d8d1f7,79ade9ff,61,0
baebce068a3aa62e71e5841e1033b357,32,1,fb131f63,4760d1d9,247f39dd,63,0
ebfdd8605e08615b1f8b2de7085f258f,32,1,a24a1448,45a8d16b,c9cb27ff,67,0
f2ce08935d7624386565be416377d3d7,32,1,937b126e,4420d109,6deafdfd,67,0
ff1bde54ff8c767289a25a30c42979b3,32,1,977f12ee,4400d101,81fdf3ff,69,0
c0a6d644fbe15abb69bc099ed10fb24f,32,1,658d0cb0,4390d0e5,8cda19fd,67,0
8551ae8ebddf9cfffd14753f924bb5f7,32,1,7a920f53,4368d0db,480277ff,79,0
888310d12cadd8ad7d3c33c1a24bd2cf,32,1,0de501bd,40d0d035,b4392f7d,61,0
9bc25ef297a9264169891882ebbbf743,32,1,1af2035f,4068d01b,9de9c1ff,65,0
87e1e9aa7d716521960dbaa0b349b983,32,1,e0071c01,3fc0cff1,cb979cdf,63,0
e94f477c3106ffce283726ba0942ad2b,32,1,de391bc6,3e30cf8d,72ccfdff,65,0
c5b1d97721cf4aa080399a95758bc78b,32,1,dd3a1ba6,3e28cf8b,046fbdff,63,0
e49a91bb93fcad84c4f0c2cbae1c074f,32,1,da3d1b46,3e10cf85,e26b9fff,65,0
cfc6f707059d807cde28443de0125dd3,32,1,6e890dd0,3bb0ceed,f13db1ff,63,0
ff36e4ea6fbeb805a678666daf40444b,32,1,49ae0934,3a88cea3,f7fd67ff,69,0
a16859d149ea1a936012d8275a19497b,32,1,50b70a17,3a40ce91,127f9edf,57,0
de1ac4beee0549398e5e9cbce38949d3,32,1,3dda07ba,3928ce4b,e951fadf,67,0
b589377ddbe61ba29ad40d7f0131d81b,32,1,16f102df,3870ce1d,4991d7ff,67,0
94a27fb169d5fc86de1d5521daa618df,32,1,11f6023f,3848ce13,9ff3a7ff,69,0
df96fa7a06b2ad9f56f093e9e2d38deb,32,1,ed0b1da0,37a0cde9,b18f7bff,75,0
fc20cf2ce41d7d1256fa3875732f7ca3,32,1,ae4815c8,35b8cd6f,fd97f6fd,69,0
ef61810f5f1983fe424f13363adf592f,32,1,b95f172a,3500cd41,a3f3ff7f,69,0
84f0aaf4c55ab62e0a604637f8784c37,32,1,74920e93,3368ccdb,d97bf4df,61,0
cb754cee3b1ecbe5f093827399e4985b,32,1,4dab09b4,32a0cca9,3f227d7f,69,0
b9d207463e0bca05f2182299872a3297,32,1,24c20499,31e8cc7b,cc77ff7f,57,0
c39aafa4d3f847c3da0bc954f1577a03,32,1,2fc905f8,31b0cc6d,db1133ff,67,0
9dc4129ff5ace5551c61771e040e7733,32,1,36d006db,3178cc5f,ec7fdf7f,65,0
fb82379b62b5e584e42c02ac41e84c9f,32,1,19ff033e,3000cc01,48f62ffd,61,0
987908d71181b47016c00e2675ac6d47,32,1,f1141e23,2f58cbd7,3fbbbbbf,55,0
9fd9285838894badf8b3f03d6774d9ab,32,1,a0451409,2dd0cb75,e4efef7f,69,0
b482267c9d60704d8e84d444be244e6b,32,1,67820cf1,2be8cafb,248bbf7f,57,0
95a96eb02f539769ca4d8c1a65b38eaf,32,1,60850c11,2bd0caf5,0747adff,67,0
d7fe36f54065aef0b0960ea0342f3dfb,32,1,2ecb05d8,29a0ca69,cc51bedf,69,0
a88bc302d402eb423235e8b41ae1f00f,32,1,30d5061b,2950ca55,a5e8fb7d,55,0
a7c400c715ec98b9f6de5d88608aa6bb,32,1,03e6007d,28c8ca33,f26f6dff,63,0
85f963cd2c7cba8a42955bce67725e97,32,1,e3071c61,27c0c9f1,fcc013bf,69,0
9ccddba61c8ae9f154946ae79b046593,32,1,a1451429,25d0c975,b7eeafff,65,0
b03345ad0c435c9ffc9ad6c8e7cd0f33,32,1,a2461449,25c8c973,5dbefbff,67,0
b50e18b875d794eb562adb11bf7e8a53,32,1,b75316eb,2560c959,63f52edf,69,0
b7940dba16c3b55a7e068a5c624b7683,32,1,8064100d,24d8c937,97f4b7bf,63,0
e9cab081309717ccb86c341697127bb3,32,1,997d132e,2410c905,ffd7bd5f,61,0
cdde7d6054905fd70ab0a5533429bac7,32,1,6d890db0,23b0c8ed,ae7d79ff,65,0
f266c5d0ccd5024ddae490b0964e38b7,32,1,0aee015c,2088c823,6ca7adff,61,0
f75b98c5b541ca3970549d69cefdbdd7,32,1,1ffb03fe,2020c809,07d3b7ff,73,0
d943f339ec821772e5665495a409aa8f,32,1,8e6d11cc,1c90c725,411bf7ff,63,1
eb2b2dee4a1569f1e9bfe34a1671cb17,32,1,789b0f12,1b20c6c9,e97bedff,71,0
c072fbf2405c355ac32d03f1ef3ed807,32,1,59ba0b36,1a28c68b,d16d9fff,65,0
ac4128be5cb7981c39d46c291f5efd23,32,1,23c00479,19f8c67f,8d523f7f,65,1
dc7b1e8c093eae557f9c3f014bfb6663,32,1,0eed01dc,1890c625,eb72dcff,71,0
f5b8dd926063d34f7d228ef76f8189a3,32,1,18fb031e,1820c609,caef7eff,69,0
8b467e392f3b64434bc0c539d74b4d33,32,1,a54714a9,15c0c571,dda0fdff,65,0
cb8c5be610916a7375d8b441ccbccfeb,32,1,af4d15e8,1590c565,0925bfff,67,0
9807301a943f9aaf5f75ee7a9ebb68bf,32,1,b250164b,1578c55f,ec03bdff,73,0
b4f9ae1184f62fc1f77b5255e272021f,32,1,b153162b,1560c559,5d8d7ffd,67,0
ed005b3db8226492b38db08b92ad769f,32,1,8a68114c,14b8c52f,51cb07ff,63,0
c4c39823d17f1988b133017db6d7995f,32,1,9c7e138e,1408c503,f9d5b7ff,65,0
974a2be7fa718e1fc73b9f84c4cfbadb,32,1,67850cf1,13d0c4f5,c79adf7f,75,0
aa6feecd32a8e42c53ac59a52cc30927,32,1,44a60895,12c8c4b3,7fa741ff,63,0
95d03ee59965afaeef17cec919fa460b,32,1,50b20a17,1268c49b,646f5fff,71,0
9805e8223b9ffde403d02ab8bea4ec6f,32,1,54b60a97,1248c493,cdc9bdff,65,0
8b43ce99b31315107b8aa374600a04bf,32,1,30d2061b,1168c45b,4067afff,57,1
fc5ef7e161a353cd1f4fd8299838795b,32,1,ed0c1da0,0f98c3e7,91bfb4df,71,0
afd02cbd7925d24205a8e45f7d7e9783,32,1,65840cb1,0bd8c2f7,ecce5f7f,67,0
a87764aa63a53b878734b8cbf8f8ee33,32,1,47a608f5,0ac8c2b3,fc4d7ffd,69,1
d23fcc488e56b641af2753068e85a6a7,32,1,4cad0994,0a90c2a5,2b130fff,63,0
f29fd2d8e75aa3db5fafa682c3166f07,32,1,e8081d00,07b8c1ef,ae33f5ff,73,0
a114b92463f453077502fcb99111c853,32,1,f5151ea3,0750c1d5,2f5f6bff,57,0
f7a28fcd9ece6baff51fab5b9ba5ea67,32,1,fd1d1fa2,0710c1c5,ece79edf,81,0
d9c604c4ed13ff70753d46393a597c17,32,1,c9291924,06b0c1ad,2735bdff,67,0
ee915f3e9db02ecc8ff138fdf08d1c3f,32,1,cc2c1984,0698c1a7,b7dff77d,73,0
f8ed4c085f20185431f41e67e1cebcd3,32,1,ce2e19c4,0688c1a3,0e4fafff,63,0
e67ebc747556a2eaa56973da983efe67,32,1,ae4e15c8,0588c163,ee9e7adf,75,0
c268a9adbef18dba4b10265d1b1abbc3,32,1,bc5c178a,0518c147,46f7b7ff,65,0
ec0efa9c628c7e2e97970ffd9af9a963,32,1,6e8e0dd0,0388c0e3,3e94ebff,73,1
c818ef45a92b517e79ee5a7a19ddecc7,32,1,7c9c0f92,0318c0c7,3bcbf7fd,71,0
879d095f576f2cb5831d9e3e784138ab,32,1,45a508b5,02d0c0b5,f807feff,67,0
e67c644cdaf6c5a1f9ccb718b8217ab7,32,1,48a80914,02b8c0af,03f1b9ff,69,1
9c33a436048d5e7fbd30fe5a5902ff7f,32,1,30d0061b,0178c05f,93931fff,71,0
bd18ecfab6beb95bf9f9a60482953fbb,32,1,37d706fb,0140c051,63aafdff,75,1
d68b1f39835debc0ed7337c7602dae73,32,1,1cfc039e,0018c007,2d93fdff,71,0
94d5a6c5e7c8579a9a21a95d90bb3af9,32,1,cf1019e3,ff78bfdf,f8e16fff,67,0
